address,id,latitude,longitude,city,name,zip code,WiFi,Bagels in the Bou,Nitro on Tap,Order Ahead,Drive-Thru,Catering,Walk-Up Window
"9955 Hudson Place Woodbury, MN",8865396,44.94397735595703,-92.90470886230469,Woodbury,Woodbury Marketplace,55125,1,1,1,1,0,0,0
"8320 City Centre Drive Woodbury, MN",8865631,44.920799255371094,-92.93841552734375,Woodbury,Woodbury - City Center Drive,55125,1,0,0,1,0,0,0
"365 Radio Drive Woodbury, MN",8865374,44.94239807128906,-92.93206787109375,Woodbury,Coffee & Bagels City Place,55125,1,1,0,0,1,1,0
"7050 Valley Creek Plaza Woodbury, MN",8865630,44.927181243896484,-92.96382141113281,Woodbury,Lunds & Byerlys - Woodbury,55125,0,0,0,0,0,0,0
"185 Century Ave Woodbury, MN",9061075,44.94615173339844,-92.9838638305664,Woodbury,Coffee & Bagels Woodbury - Century Ave,55125,1,1,1,0,1,0,0
"8360 3rd Street North Oakdale, MN",8865394,44.95184326171875,-92.93504333496094,Oakdale,Oakdale Village,55128,1,1,0,1,0,0,0
"7009 10th Street North Oakdale, MN",8865395,44.962867736816406,-92.9636001586914,Oakdale,Bergen Plaza,55128,1,1,1,1,1,0,0
"6014 Highway 36 Oakdale, MN",8865399,45.020755767822266,-92.98436737060547,Oakdale,Highway 36 & Century,55128,1,1,1,1,1,0,0
"1830 Market Drive Stillwater, MN",8865377,45.03901672363281,-92.8420639038086,Stillwater,Stillwater - Marketplace III,55082,1,1,0,1,0,0,0
"1966 Bunker Lake Boulevard NW Andover, MN",8865454,45.21906280517578,-93.31582641601562,Andover,Andover Marketplace East,55304,1,1,0,1,1,0,0
"12417 Ulysses Street Blaine, MN",8865455,45.196495056152344,-93.23568725585938,Blaine,242 & 65,55434,1,1,0,1,0,0,0
"3507 Round Lake Boulevard NW Anoka, MN",8865427,45.21760559082031,-93.35823822021484,Anoka,Round Lake Blvd,55303,1,1,0,1,1,0,0
"14050 St Francis Boulevard Ramsey, MN",8865430,45.225467681884766,-93.39810180664062,Ramsey,Ramsey - St. Francis Blvd,55303,1,1,0,1,1,0,0
"101 West Main Street Anoka, MN",8865451,45.19953918457031,-93.39286041259766,Anoka,Anoka - West Main,55303,1,1,0,1,1,0,0
"7988 Sunwood Drive NW Ramsey, MN",8865429,45.235191345214844,-93.4694595336914,Ramsey,Ramsey Town Center,55303,0,1,0,1,1,0,0
"1835 Gateway Drive Coon Rapids, MN",8865453,45.185333251953125,-93.31321716308594,Coon Rapids,Coon Rapids - Hanson Blvd & Gateway Drive,55433,1,1,0,1,1,0,0
"2022 Northdale Boulevard Coon Rapids, MN",8865460,45.18049240112305,-93.31802368164062,Coon Rapids,Coon Rapids - Hanson Blvd,55433,1,1,0,1,0,0,0
"8601 Springbrook Drive Blaine, MN",8865452,45.12626647949219,-93.26636505126953,Blaine,Springbrook,55433,1,1,0,1,0,0,0
"3536 Main Street Coon Rapids, MN",8865424,45.19697570800781,-93.35545349121094,Coon Rapids,Coon Rapids - Main Street,55448,1,1,0,1,1,0,0
"400 West 5th Street Northfield, MN",8865580,44.45540237426758,-93.16545104980469,Northfield,Northfield - Shoppes At Westside Plaza,55057,1,1,0,1,0,0,0
"1823 Market Boulevard Hastings, MN",8865620,44.737030029296875,-92.89374542236328,Hastings,Hastings - Market Blvd,55033,1,1,0,1,1,0,0
